complaint_text,department
Road is damaged near my village,Roads
Pothole on the main road,Roads
Road repair work is pending,Roads
Broken road causing travel problems,Roads
Village road needs improvement,Roads
Main road requires maintenance,Roads
Road is damaged after heavy rain,Roads
Bridge repair required,Roads
Footpath is broken,Roads
Road construction stopped,Roads
Road blocked due to construction,Roads
Traffic issue because of bad road,Roads
Road cracks need repair,Roads
New road request from residents,Roads
Road maintenance complaint,Roads
Street light is not working,Electricity
Power cut issue in my area,Electricity
Frequent power failure complaint,Electricity
Transformer problem in my street,Electricity
Electric pole is damaged,Electricity
Low voltage problem,Electricity
Electricity bill issue,Electricity
No power supply for many hours,Electricity
Meter is not working,Electricity
Need new electricity connection,Electricity
Power fluctuation problem,Electricity
Street lamps are not working,Electricity
Electric wire problem in area,Electricity
Electricity service complaint,Electricity
Power supply delay complaint,Electricity
Water pipe leakage problem,Water Supply
Drinking water supply is not coming,Water Supply
Water shortage in village,Water Supply
Broken water pipeline,Water Supply
Dirty water supply issue,Water Supply
Water tank maintenance problem,Water Supply
No water supply for two days,Water Supply
Water connection problem,Water Supply
Low water pressure complaint,Water Supply
Water leakage near house,Water Supply
Public water tap damaged,Water Supply
Water quality issue,Water Supply
Need new water connection,Water Supply
Water supply timing problem,Water Supply
Water distribution complaint,Water Supply
Garbage not collected for many days,Sanitation
Waste disposal problem in street,Sanitation
Overflowing garbage bin complaint,Sanitation
Drainage cleaning required,Sanitation
Public toilet cleaning issue,Sanitation
Street cleaning complaint,Sanitation
Garbage vehicle not coming,Sanitation
Dirty surroundings complaint,Sanitation
Waste collection delay,Sanitation
Open drainage problem,Sanitation
Mosquito problem due to waste,Sanitation
Need garbage removal,Sanitation
Sanitation worker complaint,Sanitation
Bad smell from garbage area,Sanitation
Cleaning service issue,Sanitation
Hospital service complaint,Health
Doctor unavailable in hospital,Health
Medicine availability issue,Health
Hospital cleanliness problem,Health
Ambulance service delay,Health
Emergency service complaint,Health
Need medical facility,Health
Nurse service complaint,Health
Health center problem,Health
Patient care complaint,Health
Government hospital issue,Health
Medical equipment problem,Health
Vaccination service complaint,Health
Healthcare facility complaint,Health
Doctor appointment problem,Health
Crime reported in my area,Police
Mobile theft complaint,Police
Noise disturbance complaint,Police
Suspicious activity reported,Police
Lost document complaint,Police
Safety issue in residential area,Police
Robbery complaint,Police
Illegal activity complaint,Police
Need police assistance,Police
Harassment complaint,Police
Missing item complaint,Police
Public safety concern,Police
Vehicle theft complaint,Police
Cyber crime complaint,Police
Police response delay,Police
Birth certificate application delayed,Revenue
Death certificate issue,Revenue
Income certificate pending,Revenue
Community certificate delay,Revenue
Patta document problem,Revenue
Land record correction request,Revenue
Property tax issue,Revenue
Revenue office service delay,Revenue
Certificate approval delay,Revenue
Document verification problem,Revenue
Bus service delay complaint,Transport
Bus stop damaged,Transport
Government bus timing problem,Transport
Bus route request,Transport
Bus ticket issue,Transport
Driver complaint,Transport
Conductor complaint,Transport
Bus not available in village,Transport
Transport facility problem,Transport
Need additional bus service,Transport
Park maintenance issue,Parks
Children playground damaged,Parks
